"created_at","text","favorite_count","retweet_count","retweet_like_ratio","retweet_x_like"
2021-08-25 02:09:18,"OHHH a ring has spawned <U+0001F48D><U+0001F92F>

10000 is a Dusk Half-Elf Lineholder Fighter from The Library + Ring
99.80 rarity score
What a mint to hit 10,000!!!!

Sometimes randomness smiles on milestones for us mere humans. 

https://t.co/ebIGecXRQ0",16,0,0,17
2021-08-25 02:07:50,"<U+0001F511>New key!

9301 is an Ironink Giant Fernshield Paladin from The Forest + Key
98.90 rarity score

https://t.co/i8sAZPjGoj",2,0,0,3
2021-08-24 00:08:38,"If only there was a project with art that slaps, available for 0.04eth, has playable functionality already and ships upgrades weekly. 
Sigh....<U+0001F92B><U+0001F4DD>
 https://t.co/Jxea7TNBmN https://t.co/Mgh7q8efD6",31,3,0.0967741935483871,128
2021-08-23 05:38:29,"Update: stats stats stats<U+0001F9EE>

Do you like pouring through numbers and rarities?
This new page is for you.
We will be adding to it: floor prices, pictures, open sea integration etc. soon.

https://t.co/7lLhX5JS3W",10,3,0.3,44
2021-08-23 05:36:18,"<U+0001F916>we have a new trait identifying discord bot
He will give you roles for your main character and unlock channels.
beep boop.

https://t.co/TT5zyNrzVo",7,1,0.142857142857143,16
2021-08-22 23:07:41,"<U+0001F525><U+0001F440>New feature release: 
<U+0001F4DC>Community Quest Building Engine!

Have your say in the mini-quests of Ethermore. 
Help write narratives and choices that change other Heroes moral compass!<U+0001F9ED>

Details in the discord.

The story doesn't write itself.... https://t.co/PDPilQyt5h",15,3,0.2,64
2021-08-22 06:16:45,"Just another 4 scroll day. <U+0001F481><U+200D><U+2640><U+FE0F>
Probably nothing.

https://t.co/GquuwSyefx
https://t.co/VFoXMY73CA

Well done whoever minted 8425 &amp; 8371<U+0001F4DC><U+0001F4DC>",10,0,0,11
2021-08-22 03:33:57,"It's great seeing transactions with the Ethermore contract burn eth. Feels like an extra win for everyone.<U+0001F525>",8,0,0,9
2021-08-21 23:36:12,"The 7th key!
only 3 to go!

8128 is a Dawn Elf Toxinbolt Rogue Keeper of The Glade + Key

https://t.co/cLRzHnlJOv",5,0,0,6
2021-08-21 23:34:42,"Two more scrolls just popped up!
https://t.co/DgGI1AcZND https://t.co/cNyyAtY4Tr",11,1,0.0909090909090909,24
2021-08-21 22:17:56,"Ok real talk. 
Who wants to play a DnD one shot with their Ethermore heroes as a base? LFG? 

Ping @AxieKing @andy8052 @bitcoinPalmer @Stillm4n @irfreak @NinjaBoffin @Barthazian @gabusch @Greekdx @Fiskantes @underwaytrying @XBT002 @NagatoDharma @0xShual @safetyth1rd @sobylife",55,8,0.145454545454545,504
2021-08-20 00:19:28,"<U+0001F3B2><U+0001F525>The moral drift begins. <U+0001F525><U+0001F3B2><U+0001F388>
Soon, functionality + morality + community flywheel kicks in. 
<U+0001F648><U+0001F649><U+0001F64A> https://t.co/tQb3J6FVlW",14,4,0.285714285714286,75
2021-08-19 08:54:04,"Make the world you want to be in.
Your tribe will meet you there.",11,0,0,12
2021-08-18 22:17:36,"Holy weaver of the forest! This was a steal! <U+0001F62E>
Some dealz out there on the 2ndry my friends.

https://t.co/gA4Jv8clsN",9,0,0,10
2021-08-18 20:51:33,"New mini-quest!  <U+0001F42E>

Log in with your main hero and enjoy!

(press play for the music please!)

The Notice board: Contract- Betsy https://t.co/RousuUmMNl",7,2,0.285714285714286,24
2021-08-18 06:13:13,"4 away from 1000. 
Wow https://t.co/M5lN7gXrJU",22,1,0.0454545454545455,46
2021-08-17 22:08:27,"7822 is the 22nd scroll<U+0001F4DC>

Dusk Elf Lunomancy Oracle Wizard from The Swamp + Scroll
92.10 
https://t.co/LEI1PjfupZ",7,0,0,8
2021-08-17 21:35:11,"Ethermore heroes have choices that change their metaverse. <U+0001F388>

Thinking about those choices is the meta-metaverse.<U+0001F914>

Don't explode.",15,1,0.0666666666666667,32
2021-08-17 17:56:27,"<U+0001F9D9><U+0001F3FE><U+200D><U+2642><U+FE0F>Mystical Giveaway<U+0001F9D9><U+0001F3FE><U+200D><U+2642><U+FE0F>
We've partnered with @CurioNFT &amp; @manofmissle to celebrate their #NFTDungeon drop. We'll be giving away an nftdungeon Adventurer to one lucky person.

1<U+FE0F><U+20E3>Follow @manofmissle, @Ethermorelore, @CurioNFT
2<U+FE0F><U+20E3>RT + Like
3<U+FE0F><U+20E3>Tag a #NFT friend
https://t.co/YepwZTcegY",36,27,0.75,1036
2021-08-17 00:26:40,"The rarest mint so far popped up.
<U+0001F440><U+0001F3B2>Rarity rank #4 and part of the 99.99 club

7765 is Bonebelter Half-Orc Chaos Sorcerer Haunter of The Ruins + Rope

Loving the diversity of the top10
https://t.co/NAkUK7iOZO https://t.co/NtyqHTxJJt",8,1,0.125,18
2021-08-17 00:24:40,"top 10 rarity we missed in the recent mint run:

6606 (metal as number for the wasteland) <U+0001F91F><U+0001F91F>
Lead Dwarf Longstaff Monk Nomad of The Wasteland + Helm

rarity rank #10
https://t.co/cEtmWSlIfi https://t.co/ab06fIBI2l",9,1,0.111111111111111,20
2021-08-16 04:53:12,"what an incredible day 5 scrolls!
These two dwarf buds bring home the scrolly bacon <U+0001F4DC><U+0001F4DC>

7277- Silver Dwarf Shaman Barbarian from The Forest + Scroll at 93.1
7318- Silver Dwarf Resplendence Cleric from The Temple + Scroll at 96.6
https://t.co/ux85zWGSOi
https://t.co/sijZlRgkzC https://t.co/CKoQxffz9l",5,0,0,6
2021-08-15 22:43:27,"10 heroes until 7000
7 new minters until 900 unique holders
milestones starting to go faster than we can keep up with <U+0001F62C>",18,1,0.0555555555555556,38
2021-08-15 22:37:52,"3rd scroll of the morning <U+0001F92F>
6949 is Valiant Human Pearlshield Paladin from The Glade + Scroll
<U+0001F4DC>#18
This should get interesting soon

check #thelostscrolls in the discord to get on the up and up.

https://t.co/CuoiAhMwj4 https://t.co/8kFL0ZCO8I",4,0,0,5
2021-08-15 22:14:42,"Sweet Mints coming in fast today!

6881 is Dawn Elf Chaos Sorcerer Keeper of The Glade + Scroll (17th)

98.2 rarity+scroll <U+0001F4DC>
And this aesthetic is A1 
sometimes they just come out nice, yaknow?

https://t.co/LgWiqtcjB6 https://t.co/Pmv0gb7lCc",10,0,0,11
2021-08-15 21:55:38,"calling all EAST coast DMs  <U+0001F62C> https://t.co/gKVyl1cATk",2,0,0,3
2021-08-15 21:54:21,"6615 is Fiendhorn Half-Demon Pearlshield Paladin from The Mountains + Scroll 
94.7 rarity and the 16th scroll!<U+0001F4DC><U+0001F525><U+0001F525>

https://t.co/tISjoJTLCf https://t.co/SIwEJ81KIh",8,0,0,9
2021-08-15 21:00:56,"Calling West coast DMs https://t.co/gKVyl1cATk",9,2,0.222222222222222,30
2021-08-14 22:52:28,"<U+0001F4CD>Ethermore characters start true neutral.

Each choice is permanent. Each has a consequence on who you are.

Little by little, you will move across the moral compass towards or away from good/evil and order/chaos.

Certain choices are only available to polarised moralities.",18,0,0,19
2021-08-13 21:33:14,"Just a creative shoutout to @ParallelNFT 
Turning the magic of tabletop/card/RP games into blockchain games is hard and requires a mix of vision/execution. 

You have Ethermores support from your blockchain game buddies.  <U+0001F44C>",14,1,0.0714285714285714,30
2021-08-13 07:20:31,"Once a choice is made in Ethermore, it is set. 
No character can go around again. 
Decisions have consequences.
Different characters traits present different options. 

Who are you?

What do you stand for?",17,0,0,18
2021-08-12 23:16:23,"1/Want some liquidity on your HEROES?
Didn't feel a connection to your mint?
Want to earn some fees and put your Heroes to work?

We have an @NFTX_  vault for that!

https://t.co/q0D6AD3RRc",2,1,0.5,6
2021-08-12 00:18:00,"There is a lot going on here!

Scroll # 15 <U+0001F4DC>
6035 is a Toegold Halfling Kingdom Druid Keeper of The Glade + Scroll
99.70 rarity 
well done, minter! 

https://t.co/PjFwE0AqOX https://t.co/zegk9GvC5d",9,1,0.111111111111111,20
2021-08-11 22:08:11,"Over 6000 heroes out there now.
Up from 3000 just over a week ago....",39,4,0.102564102564103,200
2021-08-11 04:16:02,"Oh my! #5 rarest has been minted. Loving the variety of these top tiers! 

5830 is a Dawn Half-Elf Love Bard Acolyte of The Temple + Scroll

99.99! <U+2728><U+0001F525><U+0001F525><U+0001F525>

https://t.co/Arr6Me4fcs",9,0,0,10
2021-08-11 01:14:40,"<U+2696><U+FE0F>New side quest drop:

Flashback https://t.co/yNpWrQzwzW

You decisions shape you. 
They trickle into the world around you.
Who are you?
What do you stand for?
<U+0001F440>",5,1,0.2,12
2021-08-10 20:55:30,"We like the wizards @forgottenrunes 

Soon, everyone will also like the heroes.
<U+0001F91C><U+0001F91B>",27,0,0,28
2021-08-10 00:42:51,"We like the owls. 

https://t.co/xW0BySjJno",17,1,0.0588235294117647,36
2021-08-08 23:02:01,"Barbarian Buddies Giveaway!

NAME this lost barbarian snow tribe AND TAG a friend. 
We will select our favourite tribe name and send you and a friend these two Lost barbarian Ethermore Heroes.
<U+0001FA93><U+2744><U+FE0F>

#NFTGiveaway #NFTgaming #nftcollector #dnd #TTRPGs  #BlockchainGaming https://t.co/YbfVb2Cc6E",33,15,0.454545454545455,544
2021-08-06 23:04:42,"<U+0001F9ED><U+0001F4DC><U+0001F440>
Those with an Ethermore character can now make some choices....

https://t.co/ojyVzaSYdI https://t.co/21fL24tQw5",15,1,0.0666666666666667,32
2021-08-06 22:46:36,"Join us in the discord now for a preview of the moral compass and side quest engine!",9,1,0.111111111111111,20
2021-08-06 05:06:22,"5109: Windfall Elemental Hunt Ranger Keeper of The Glade + Scroll<U+0001F4DC>(#13)

https://t.co/rO6qZbg1Zc https://t.co/nLsvGU3xG6",10,0,0,11
2021-08-05 23:52:58,"Join us in the discord tomorrow in around 23h for the Launch of our Side Quest and Moral Compass Engine.

Text based old school adventures where choices have character consequences. <U+0001F9ED>

That's right. 
We got some playability y'all. https://t.co/WTdAYW0EAj",9,2,0.222222222222222,30
2021-08-05 22:17:22,"RING#3<U+0001F48D>
and what a stunner....that one ring and falling feathers....

5029 is Fallen Celestial Pearlshield Paladin from The Forest + Ring
https://t.co/Ags0llXqY8 https://t.co/Cjed1BN3ME",16,1,0.0625,34
2021-08-05 20:25:16,"Be careful out there. There are fake profiles. Verify! Core Ethermore team won't ask about mining!
And whoever this is: Do something more creative and better with your time. https://t.co/EnD7sZHFmY",2,0,0,3
2021-08-05 04:43:39,"<U+0001F4DC>#12
4872 is aStoneink Giant Pearlshield Paladin Pride of The Mountains + Scroll
99.80
https://t.co/loXhAedYUN https://t.co/OkSpXVWB29",2,0,0,3
2021-08-05 04:40:58,"SECOND RING has appeared <U+0001F440>

4880 is a Dusk Elf Shadowslice Rogue from The Castle + Ring
99.80
https://t.co/vH5BfXJbPZ https://t.co/tZPhaXA0Zt",3,0,0,4
2021-08-04 02:43:18,"<U+0001F6A8>  Hot orc alert!  <U+0001F6A8>

<U+0001F511> + 99.99 (rank 6!) + <U+0001F308>

Bravehide Half-Orc Slateshield Paladin Keeper of The Glade + Key 
<U+0001F63B>

https://t.co/2fy7uvVTUo",7,0,0,8
2021-08-04 00:00:46,"This newest mint is clean.
Ravenfolk are awesome. https://t.co/c4zv3NeoxZ",15,0,0,16
2021-08-03 23:41:33,"Your choices have consequences. Even if slight, the world around you feeds off them.",8,1,0.125,18
2021-08-03 05:33:51,"<U+0001F440>
 
<U+0001F92B> https://t.co/tWOYrSBy7K",17,5,0.294117647058824,108
2021-08-03 00:49:08,"Picking up steam now-
Another <U+0001F511>KEY, that makes 5<U+20E3>

<U+0001F30A>Oceanic Elemental Shaman Barbarian from The Swamp + Key 
99.1 rarity score<U+0001F48D><U+0001F929><U+0001F60D>

https://t.co/WRUW2ANCAM https://t.co/zJGn6ywXbA",4,0,0,5
2021-08-02 23:05:01,"We are 5 away from 500 individual hero holders. 
If you know someone who simply must join Ethermore. Let them know they can still mint!
https://t.co/Jxea7TNBmN",7,5,0.714285714285714,48
