"screen_name","user_id","follower_count"
"Awrelven",62139607,145
"axejintao",957460182916673536,1014
"Axie_Queen",1393852959021146112,18821
"AxieEth",1249260882078707712,1935
"AxieinfinityEsp",1393654120440111104,2352
"Axielerator1",1420710797047566336,5
"AxieMary",1404383363356446720,123
"AxieNovice",1319349102031765504,156
"axievoo",1320102188232986624,276
"AyanPat84665859",1210450319169277952,9
"AyayaHagen",888075245055336448,416
"AYS1382",369891034,579
"azertyuiopvnx",627468328,8
"AZtztk",14937068,5559
"azzahra___",77523999,385
"B_is4Brian",26838514,771
"b0b96811255",996153310133485568,10
"b0wen6",1060243560,153
"baak_gwai",1374291854993235968,19
"BABL0ve",1251477135107260416,0
"BabyFace_David",1146655806,431
"babylon_eth",2571089740,657
"babywarrenb",997223127074697216,5
"Bach86018917",1296841319604604928,18
"BackgroundCook",1333158906084929536,225
"BackToRealty",750800448458633216,503
"badcollector1",1397376201719648256,1188
"badjasman",936673197348544512,53
"Badoot",358247795,380
"bagstopluto",1334604956746149888,762
"BagsUpOnly",1390194499650048000,234
"BahamaRacing",1365551904248516608,100
"bakeybitcoin",1372836304212267008,38
"baller_mike8888",817587407465787392,37
"bambidm",81554512,185
"BangsleyO",1415044375407734784,212
"BaniGiov",1418626508147499008,12
"baptistedebever",2776757947,468
"bardia_shm",50905036,84
"bardpix",1430535768813064192,22
"BARTNFT1",1408597115031506944,7
"bashizzlecrypto",1360702110409527296,337
"BastionVonRaven",1412261445002268672,959
"batsolcray",943172318548910080,48
"battlemagebull",1425730598589526016,109
"bax1337",57394106,501
"bayesianer",1422304992661327872,16
"bazzaboycrypto",1368467328200019968,587
"bbblllccc3",1358147244269203456,11
"BBlocks15",1425498872122683392,92
"BC_Kasper_32",459898211,583
"BCD_Guru",718826914216067072,970
"bcethhunter",1405563646743224320,145
"BearsRare",1413533978645057536,56
"bebop_crypto",1397650363046678528,181
"BeegSmokey",861163034940669952,43513
"beepidibop",1351014312740081664,20
"Beervangeer",11053482,1039
"bees_neeth",1032909112202420224,745
"Begund4lGank",3278490307,47
"beholdobscurity",2424663912,206
"belGIANgwaffles",314604030,1824
"believeinpangea",1355560107665317888,7
"belkideoyledir",339098970,109
"BelovedEarthLLC",1568813336,156
"ben_clem_",1388132806602199040,0
"benaaronrudy",975140675506360320,31
"BenCaju",1264627057381634048,95
"benfoliage",632824265,296
"BenjaminSlade",123225883,192
